,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-323.38545058933545
1,AK,-127.23320607740492
2,AZ,-23.00544826130196
3,AR,-22.08626702957705
4,CA,285.1087607152407
5,CO,235.84421462991995
6,CT,376.73849412834693
7,DE,-88.82541643785149
8,DC,823.0967743676156
9,FL,-90.0577366470008
10,GA,-193.81493119833107
11,HI,17.620939266981043
12,ID,-233.7391156990401
13,IL,159.2358439632599
14,IN,16.217046204663657
15,IA,-138.98209357275897
16,KS,-38.8839570597726
17,KY,-123.30669662135693
18,LA,-103.47349503310727
19,ME,-457.40903636289477
20,MD,88.79200251455786
21,MA,598.1678892198454
22,MI,31.777808609609522
23,MN,155.55530446954592
24,MS,-405.6785129389561
25,MO,-196.20487160070732
26,MT,-186.1949057273702
27,NE,-472.2321904546331
28,NV,335.37491873068814
29,NH,46.07622409823163
30,NJ,232.05077285065448
31,NM,-136.55387244766612
32,NY,618.9280936155002
33,NC,-427.16749271050713
34,ND,38.78270771579207
35,OH,43.542585201460774
36,OK,-306.1188579008112
37,OR,27.563207530378715
38,PA,-80.11600200147785
39,RI,56.85715498812532
40,SC,-264.1300976737727
41,SD,-93.396614991084
42,TN,-243.06714669877363
43,TX,-19.393559128926384
44,UT,-95.48841473046942
45,VT,-52.5882875560281
46,VA,-108.48483870269516
47,WA,325.22538325903963
48,WV,-188.81133543724724
49,WI,-153.1108872099901
50,WY,2.5219331420572644
